Station,Epiyear,Epiweek,Year,Month,Day,Daily_Rainfall_Total_mm,Mean_Temperature_degC,Maximum_Temperature_degC,Minimum_Temperature_degC,Mean_Wind_Speed_kmh,Max_Wind_Speed_kmh
Ang Mo Kio,2012,5,2012,1,31,70.4,25.9,31.2,21.8,7,29.5
Ang Mo Kio,2012,5,2012,2,1,0,26.9,30.1,24.7,8.7,37.4
Ang Mo Kio,2012,5,2012,2,2,15.2,25.4,30.3,23.1,6.6,35.6
Ang Mo Kio,2012,5,2012,2,3,0,25,27.3,24.1,5.1,23.8
Ang Mo Kio,2012,5,2012,2,4,0,26,28.6,23.7,7.7,34.6
Ang Mo Kio,2012,6,2012,2,5,0,27.2,31.5,24.5,7.7,29.5
Ang Mo Kio,2012,6,2012,2,6,0,27.2,31.5,24.5,7.6,32.8
Ang Mo Kio,2012,6,2012,2,7,0,27.2,32.6,24.3,6,29.5
Ang Mo Kio,2012,6,2012,2,8,0,27.3,32.3,23.9,7.2,25.2
Ang Mo Kio,2012,6,2012,2,9,0,26.9,31.5,23.7,8.1,34.2
Ang Mo Kio,2012,6,2012,2,10,0,27.2,31.8,24.1,8.1,33.5
Ang Mo Kio,2012,6,2012,2,11,0,27.6,32.2,25,9.3,35.6
Ang Mo Kio,2012,7,2012,2,12,0.4,27.3,31.5,25.3,9.2,40.3
Ang Mo Kio,2012,7,2012,2,13,0.2,26.4,30,24.6,7.2,34.9
Ang Mo Kio,2012,7,2012,2,14,0,27.3,31.6,24.9,6.9,29.5
Ang Mo Kio,2012,7,2012,2,15,9.8,26.7,33.2,24.5,5.7,36.4
Ang Mo Kio,2012,7,2012,2,16,0,27.3,33.3,24.8,5.1,29.5
Ang Mo Kio,2012,7,2012,2,17,1.2,26.6,31.2,24.6,4.1,36.4
Ang Mo Kio,2012,7,2012,2,18,14.2,25.2,28.9,23.7,4.2,31.3
Ang Mo Kio,2012,8,2012,2,19,0.2,25.9,30.9,22.5,5,26.3
Ang Mo Kio,2012,8,2012,2,20,3.4,26.6,31.5,25,5.9,24.1
Ang Mo Kio,2012,8,2012,2,21,14.8,26.5,30.8,25.1,6,27.7
Ang Mo Kio,2012,8,2012,2,22,2.8,27.1,31.6,24.3,6.3,30.2
Ang Mo Kio,2012,8,2012,2,23,0,27.9,32.2,24.9,6.1,25.2
Ang Mo Kio,2012,8,2012,2,24,0,28.2,33.1,25.2,6.4,33.5
Ang Mo Kio,2012,8,2012,2,25,0,28.2,33.7,25.2,5.8,27
Ang Mo Kio,2012,9,2012,2,26,0.8,27.7,32.4,25.4,6.1,29.5
Ang Mo Kio,2012,9,2012,2,27,0,27.4,30.6,24.7,5,24.5
Ang Mo Kio,2012,9,2012,2,28,0,28.1,33.5,24.9,7.1,35.6
Ang Mo Kio,2012,9,2012,2,29,0,27.6,32.4,25.4,6,24.8
Ang Mo Kio,2012,9,2012,3,1,8.6,26.6,32.3,25,4.5,41
Ang Mo Kio,2012,9,2012,3,2,18.6,25.1,28.3,22.7,4,32.8
Ang Mo Kio,2012,9,2012,3,3,0.6,26.9,31,24,4.9,25.2
Ang Mo Kio,2012,10,2012,3,4,0,28.1,32.8,25.2,4.9,23.8
Ang Mo Kio,2012,10,2012,3,5,2.6,25.7,29,22.6,4.5,44.3
Ang Mo Kio,2012,10,2012,3,6,0,28,33.2,24.8,4.3,21.6
Ang Mo Kio,2012,10,2012,3,7,0.4,27.3,30.4,25.6,4.1,19.8
Ang Mo Kio,2012,10,2012,3,8,17.2,27.3,31.6,24.1,6.8,28.8
Ang Mo Kio,2012,10,2012,3,9,0,26.6,29.4,23.2,4.8,41
Ang Mo Kio,2012,10,2012,3,10,4.2,27.1,31.2,25,3.9,19.8
Ang Mo Kio,2012,11,2012,3,11,15,26.6,31.4,24.4,5.6,35.3
Ang Mo Kio,2012,11,2012,3,12,0,25.3,27.3,24.2,7.6,38.5
Ang Mo Kio,2012,11,2012,3,13,32.4,26.2,30.3,24.1,5.5,25.6
Ang Mo Kio,2012,11,2012,3,14,10,24.2,25.9,22.8,4.7,21.6
Ang Mo Kio,2012,11,2012,3,15,0,26.3,29.9,23.6,5.7,30.6
Ang Mo Kio,2012,11,2012,3,16,0,27.9,32.3,24.9,6.3,29.5
Ang Mo Kio,2012,11,2012,3,17,12.2,27.3,32.8,24,4.8,34.9
Ang Mo Kio,2012,12,2012,3,18,6.8,26.8,32.9,23.5,4.7,25.9
Ang Mo Kio,2012,12,2012,3,19,0,27.5,31.2,25.1,4.3,20.9
Ang Mo Kio,2012,12,2012,3,20,0,28,31.1,25.3,4.7,18.7
Ang Mo Kio,2012,12,2012,3,21,11.6,27.8,34.1,23.8,4.4,33.5
Ang Mo Kio,2012,12,2012,3,22,20,26.9,32.5,23.6,4.2,19.1
Ang Mo Kio,2012,12,2012,3,23,0,27.7,34.4,25,4.1,22
Ang Mo Kio,2012,12,2012,3,24,0,28.2,33.3,25.2,4.5,24.8
Ang Mo Kio,2012,13,2012,3,25,27,26.9,32.6,22.2,5.6,58
Ang Mo Kio,2012,13,2012,3,26,4.8,26.9,31.1,24.8,4.7,38.2
Ang Mo Kio,2012,13,2012,3,27,3.2,27.3,32.6,24.5,4.5,28.8
Ang Mo Kio,2012,13,2012,3,28,0,27.2,31.1,25.4,3.9,22.7
Ang Mo Kio,2012,13,2012,3,29,21,27.1,33.4,23.8,4.3,29.5
Ang Mo Kio,2012,13,2012,3,30,42.8,26.8,31.6,24.7,4.3,27.7
Ang Mo Kio,2012,13,2012,3,31,5.6,25.8,29.6,22.9,7.5,62.6
Ang Mo Kio,2012,14,2012,4,1,13.8,28.8,33.3,25,5.8,25.9
Ang Mo Kio,2012,14,2012,4,2,2.4,27.1,30.6,22.1,6.3,47.9
Ang Mo Kio,2012,14,2012,4,3,30.2,28.1,31.7,26,5.2,33.1
Ang Mo Kio,2012,14,2012,4,4,1.8,27.4,32.4,22.2,6,39.2
Ang Mo Kio,2012,14,2012,4,5,0.2,27.7,32.2,24.9,3.9,26.3
Ang Mo Kio,2012,14,2012,4,6,21.8,26.5,30.6,22.5,3.6,33.8
Ang Mo Kio,2012,14,2012,4,7,16.8,26.7,32.9,24.2,3.8,31.7
Ang Mo Kio,2012,15,2012,4,8,1,27,31.5,24.7,4.1,31
Ang Mo Kio,2012,15,2012,4,9,16,26.1,29.9,24.2,3.9,23.4
Ang Mo Kio,2012,15,2012,4,10,66.2,26.1,32.1,22.9,3.9,27.4
Ang Mo Kio,2012,15,2012,4,11,15.6,26.3,31.4,24.2,4.2,36
Ang Mo Kio,2012,15,2012,4,12,0,27.6,31.1,24.9,4.2,25.6
Ang Mo Kio,2012,15,2012,4,13,0,29.2,33.4,25.5,5.3,27
Ang Mo Kio,2012,15,2012,4,14,19,27.2,32.1,23.7,5,37.8
Ang Mo Kio,2012,16,2012,4,15,0,27.9,32.8,24,4,20.5
Ang Mo Kio,2012,16,2012,4,16,2.8,27.6,33.1,25.8,3.8,28.8
Ang Mo Kio,2012,16,2012,4,17,0,27.3,31,25.2,5,20.9
Ang Mo Kio,2012,16,2012,4,18,0,28.8,34.3,26.8,5.1,24.8
Ang Mo Kio,2012,16,2012,4,19,18.4,26.4,30.4,24.5,3.7,17.3
Ang Mo Kio,2012,16,2012,4,20,10.8,28.9,33.2,24.9,5.1,22.7
Ang Mo Kio,2012,16,2012,4,21,5.6,26.6,28.6,23.9,6.2,32.4
Ang Mo Kio,2012,17,2012,4,22,0.2,28.2,32.6,24.9,5.1,25.6
Ang Mo Kio,2012,17,2012,4,23,0.4,28.5,34.8,25.3,4.2,31.3
Ang Mo Kio,2012,17,2012,4,24,0.4,26.9,31.4,25.6,4.8,23.4
Ang Mo Kio,2012,17,2012,4,25,0,28.8,32.8,26.2,5,24.8
Ang Mo Kio,2012,17,2012,4,26,0.4,29.2,32.4,26.4,7.1,34.9
Ang Mo Kio,2012,17,2012,4,27,0,29.3,33.2,25.2,6.3,31.3
Ang Mo Kio,2012,17,2012,4,28,0.6,29.1,33.1,23.8,5.2,27
Ang Mo Kio,2012,18,2012,4,29,0,28.9,32.5,27.2,3.9,19.8
Ang Mo Kio,2012,18,2012,4,30,0.4,28.2,33.2,25.3,5.3,27.4
Ang Mo Kio,2012,18,2012,5,1,8,27.8,32.7,24.2,4.4,33.1
Ang Mo Kio,2012,18,2012,5,2,26.4,26.7,29.5,22.6,4.6,77.4
Ang Mo Kio,2012,18,2012,5,3,0,28.8,32.8,25.7,5.5,20.5
Ang Mo Kio,2012,18,2012,5,4,52.8,29.1,32,27,4.3,19.4
Ang Mo Kio,2012,18,2012,5,5,0,27.1,31.2,21.9,5.3,49.3
Ang Mo Kio,2012,19,2012,5,6,16.4,26.5,33.3,22.9,3.8,47.9
Ang Mo Kio,2012,19,2012,5,7,2.2,25.6,28.2,22.3,4.7,42.1
Ang Mo Kio,2012,19,2012,5,8,11.8,29.3,34.3,25.3,4.9,26.3
Ang Mo Kio,2012,19,2012,5,9,36.6,27.2,33.6,23.2,4.9,32.8
Ang Mo Kio,2012,19,2012,5,10,0,27.8,33.5,24.5,3.9,23.8
Ang Mo Kio,2012,19,2012,5,11,1.4,28.1,33.1,25.6,3.7,24.5
Ang Mo Kio,2012,19,2012,5,12,12.8,29.4,33.5,25.8,5.5,25.2
Ang Mo Kio,2012,20,2012,5,13,0,27.5,30.3,23,7,64.8
Ang Mo Kio,2012,20,2012,5,14,0,30.1,33.6,27.1,7.1,29.2
Ang Mo Kio,2012,20,2012,5,15,7.6,29.1,31.8,26.6,3.3,17.3
Ang Mo Kio,2012,20,2012,5,16,13.6,28.4,32.6,23.4,6.1,45
Ang Mo Kio,2012,20,2012,5,17,0.6,27.1,29.3,23.3,4.9,31
Ang Mo Kio,2012,20,2012,5,18,0,29.1,33.2,25.9,4.7,21.2
Ang Mo Kio,2012,20,2012,5,19,0,29.9,33.8,27.2,5.8,26.3
Ang Mo Kio,2012,21,2012,5,20,0.4,29,32.4,26.4,5,27
Ang Mo Kio,2012,21,2012,5,21,0,28.8,32.9,25.8,4,18.7
Ang Mo Kio,2012,21,2012,5,22,9,29,32.9,25.3,4.9,26.6
Ang Mo Kio,2012,21,2012,5,23,0.8,27.5,30.7,24.2,6.8,29.2
Ang Mo Kio,2012,21,2012,5,24,0.8,29.1,33.1,26.7,5.9,28.8
Ang Mo Kio,2012,21,2012,5,25,0,28.4,30.8,25.8,6.8,32.4
Ang Mo Kio,2012,21,2012,5,26,33.2,27.8,31.9,24.7,6.5,32.4
Ang Mo Kio,2012,22,2012,5,27,0,27.1,30.8,22.2,5.2,49.7
Ang Mo Kio,2012,22,2012,5,28,0,28.9,33.1,25.6,5.6,20.9
Ang Mo Kio,2012,22,2012,5,29,4.4,28.1,31.5,25.4,5.7,32
Ang Mo Kio,2012,22,2012,5,30,0,28.4,33.3,26,4.1,23.8
Ang Mo Kio,2012,22,2012,5,31,20,28.2,32.9,25.2,4.3,23.8
Ang Mo Kio,2012,22,2012,6,1,0.2,27.8,30.6,24.2,5.2,20.9
Ang Mo Kio,2012,22,2012,6,2,0.4,28.4,31.3,26.3,4.2,31.7
Ang Mo Kio,2012,23,2012,6,3,0,28.3,32.3,25.3,4.3,18.7
Ang Mo Kio,2012,23,2012,6,4,9.6,28.8,32.2,26.3,3.7,18.7
Ang Mo Kio,2012,23,2012,6,5,5.6,29.2,33,26.2,4.5,19.8
Ang Mo Kio,2012,23,2012,6,6,0.2,28.9,32.4,24.8,8.6,36
Ang Mo Kio,2012,23,2012,6,7,0,30.3,33.2,27.6,5.9,23
Ang Mo Kio,2012,23,2012,6,8,33.4,28.8,31.2,26.1,4.4,28.1
Ang Mo Kio,2012,23,2012,6,9,1.2,26.4,29,22.8,6,36.4
Ang Mo Kio,2012,24,2012,6,10,0,29.1,33,26,6.1,26.6
Ang Mo Kio,2012,24,2012,6,11,0,29.2,31.7,27.9,6.4,26.3
Ang Mo Kio,2012,24,2012,6,12,0,29.2,31.5,28,7.6,27.4
Ang Mo Kio,2012,24,2012,6,13,0,29.6,33.3,27.2,6.7,25.2
Ang Mo Kio,2012,24,2012,6,14,0,30,33.8,27.5,7.2,24.8
Ang Mo Kio,2012,24,2012,6,15,0,30,33.8,27.7,6.7,23.8
Ang Mo Kio,2012,24,2012,6,16,0,29.6,32.8,27.5,7.8,31.3
Ang Mo Kio,2012,25,2012,6,17,0,29.5,33.1,27.6,9,32
Ang Mo Kio,2012,25,2012,6,18,0,29.7,33.6,27.5,7.4,27.7
Ang Mo Kio,2012,25,2012,6,19,6.4,28.4,31.5,25.5,5.9,25.2
Ang Mo Kio,2012,25,2012,6,20,9.6,28.6,32,25.6,5.3,29.2
Ang Mo Kio,2012,25,2012,6,21,0,28.1,31.8,25.8,6.1,37.8
Ang Mo Kio,2012,25,2012,6,22,0,28.9,33.6,25.4,6.5,31
Ang Mo Kio,2012,25,2012,6,23,0,29.8,33.6,27.4,7.2,24.1
Ang Mo Kio,2012,26,2012,6,24,12.4,29.6,33.3,24.8,7.5,31.3
Ang Mo Kio,2012,26,2012,6,25,0,29.3,33.1,27.6,7,25.6
Ang Mo Kio,2012,26,2012,6,26,36.4,28.5,32.3,23.8,5.2,42.8
Ang Mo Kio,2012,26,2012,6,27,0,28,30.7,25.9,4.9,36.7
Ang Mo Kio,2012,26,2012,6,28,0,28.4,31.7,25.2,5.8,25.2
Ang Mo Kio,2012,26,2012,6,29,1.6,28.9,32.3,26.6,6.4,28.1
Ang Mo Kio,2012,26,2012,6,30,28.4,27.5,30.4,23.4,5.3,41
Ang Mo Kio,2012,27,2012,7,1,0,28.2,31.5,25.8,6.3,32
Ang Mo Kio,2012,27,2012,7,2,1.8,27.9,31.3,25.9,6.5,35.6
Ang Mo Kio,2012,27,2012,7,3,11.6,26.4,29.6,23.8,4.3,25.6
Ang Mo Kio,2012,27,2012,7,4,35.6,27.1,30.3,23,5.2,38.9
Ang Mo Kio,2012,27,2012,7,5,48.4,25.7,28.9,23,4.7,38.2
Ang Mo Kio,2012,27,2012,7,6,0.2,27.8,30.2,25.2,5.4,29.9
Ang Mo Kio,2012,27,2012,7,7,18,27.2,30,23.4,5.1,35.6
Ang Mo Kio,2012,28,2012,7,8,0.4,27.5,31.8,23.2,6.4,34.2
Ang Mo Kio,2012,28,2012,7,9,0,28.4,30.7,26.8,5.7,23.8
Ang Mo Kio,2012,28,2012,7,10,0.4,27.4,30.8,26,4.9,25.6
Ang Mo Kio,2012,28,2012,7,11,8.4,27,30.2,25,4.8,25.6
Ang Mo Kio,2012,28,2012,7,12,0,27.8,30.7,25.5,7,25.9
Ang Mo Kio,2012,28,2012,7,13,2.8,28.5,31.6,26.5,7.1,31.7
Ang Mo Kio,2012,28,2012,7,14,15.4,26,28.4,23.7,5.2,24.1
Ang Mo Kio,2012,29,2012,7,15,0,27.4,31.7,25.2,5.5,34.6
Ang Mo Kio,2012,29,2012,7,16,10.2,26.4,29.8,24.2,4.3,27
Ang Mo Kio,2012,29,2012,7,17,18.8,26.1,30.4,24.5,4.8,31.3
Ang Mo Kio,2012,29,2012,7,18,0,27.2,30,25,4.9,21.6
Ang Mo Kio,2012,29,2012,7,19,1.6,26.3,29.7,24.3,3.6,22
Ang Mo Kio,2012,29,2012,7,20,0,27.7,32.3,24.4,5.3,27
Ang Mo Kio,2012,29,2012,7,21,0,28.8,32.4,26.7,6.3,27.7
Ang Mo Kio,2012,30,2012,7,22,0,29.2,32.9,26.2,6.6,34.6
Ang Mo Kio,2012,30,2012,7,23,0,29.2,32,27.4,7.5,35.6
Ang Mo Kio,2012,30,2012,7,24,0,29.3,32.9,27,6.8,28.8
Ang Mo Kio,2012,30,2012,7,25,0,28.9,32.5,26.7,7.1,32.8
Ang Mo Kio,2012,30,2012,7,26,0,29.3,32.4,27.5,9.5,32.4
Ang Mo Kio,2012,30,2012,7,27,0,29.1,32.6,27.1,9,35.6
Ang Mo Kio,2012,30,2012,7,28,0.4,28.2,32.2,24.7,8,44.3
Ang Mo Kio,2012,31,2012,7,29,0,28.4,31,26.4,6.6,31.7
Ang Mo Kio,2012,31,2012,7,30,0,28.8,31.7,27.1,7.7,30.2
Ang Mo Kio,2012,31,2012,7,31,0,28.9,32.2,27,7.2,25.9
Ang Mo Kio,2012,31,2012,8,1,11.8,27.9,31.2,24.6,6.8,30.2
Ang Mo Kio,2012,31,2012,8,2,0,28.6,31.7,26.7,7.1,29.5
Ang Mo Kio,2012,31,2012,8,3,97,27.2,30.3,23,8.5,40.7
Ang Mo Kio,2012,31,2012,8,4,3,27,31.2,25.1,5.7,27.4
Ang Mo Kio,2012,32,2012,8,5,0,28.2,31.7,25.8,5.7,26.6
Ang Mo Kio,2012,32,2012,8,6,0,28,30.6,26.2,6.1,32.8
Ang Mo Kio,2012,32,2012,8,7,0,28.3,32.2,25,6,28.1
Ang Mo Kio,2012,32,2012,8,8,0,28.8,31.9,26.4,7.8,30.2
Ang Mo Kio,2012,32,2012,8,9,0,28.6,31.4,26.7,9.3,35.6
Ang Mo Kio,2012,32,2012,8,10,0,28.8,32.8,26.7,8.7,30.2
Ang Mo Kio,2012,32,2012,8,11,0,29.1,32.5,27.1,8.2,25.2
Ang Mo Kio,2012,33,2012,8,12,0.4,28.4,31.9,26.2,8.1,31
Ang Mo Kio,2012,33,2012,8,13,0,28.8,32.2,26.2,7.8,29.9
Ang Mo Kio,2012,33,2012,8,14,0,29.4,33.1,26.9,7.8,32
Ang Mo Kio,2012,33,2012,8,15,0,28.8,32.6,26.9,10.1,38.5
Ang Mo Kio,2012,33,2012,8,16,1.2,28.3,31.8,25.6,8.4,35.3
Ang Mo Kio,2012,33,2012,8,17,4.8,27.2,29.6,23,6,25.9
Ang Mo Kio,2012,33,2012,8,18,0,27.7,31.6,25.1,6,36
Ang Mo Kio,2012,34,2012,8,19,4.6,27.6,30.9,24.9,5.9,31.3
Ang Mo Kio,2012,34,2012,8,20,0,28.6,32.1,26.9,8.2,33.5
Ang Mo Kio,2012,34,2012,8,21,1.4,27.9,33,25.5,6.8,38.2
Ang Mo Kio,2012,34,2012,8,22,2.4,27.5,31.2,24.8,5.6,35.6
Ang Mo Kio,2012,34,2012,8,23,18.8,27.3,29.2,22.9,6.1,35.6
Ang Mo Kio,2012,34,2012,8,24,0,28.6,32.7,25.7,6.4,27.4
Ang Mo Kio,2012,34,2012,8,25,0,28.4,31.2,27.3,7.1,26.3
Ang Mo Kio,2012,35,2012,8,26,0,28.3,30.5,26.6,6.7,35.6
Ang Mo Kio,2012,35,2012,8,27,3.4,26.1,30.8,23.9,4.3,32.8
Ang Mo Kio,2012,35,2012,8,28,6.4,25.9,29.4,23.7,5.7,30.6
Ang Mo Kio,2012,35,2012,8,29,0.2,27.3,29.5,25,5,28.1
Ang Mo Kio,2012,35,2012,8,30,3.2,25.8,28.5,24.1,3.9,27.7
Ang Mo Kio,2012,35,2012,8,31,1,26.2,29,23.6,5.2,29.2
Ang Mo Kio,2012,35,2012,9,1,0,28.8,32.6,27,8.4,36.4
Ang Mo Kio,2012,36,2012,9,2,0,28.9,33.3,26.5,8.8,28.4
Ang Mo Kio,2012,36,2012,9,3,0,28.8,32.5,26.8,9.3,30.6
Ang Mo Kio,2012,36,2012,9,4,5.2,28.7,32.2,24.5,8.1,27
Ang Mo Kio,2012,36,2012,9,5,0,26,28.7,24.2,6.6,34.2
Ang Mo Kio,2012,36,2012,9,6,0,27.3,31.1,24.5,5.2,26.6
Ang Mo Kio,2012,36,2012,9,7,9,27,32.1,24.3,5.5,27.7
Ang Mo Kio,2012,36,2012,9,8,0,27.7,31.2,24.5,4.8,22
Ang Mo Kio,2012,37,2012,9,9,5.2,26.4,31.9,23.6,4,38.2
Ang Mo Kio,2012,37,2012,9,10,0,26.8,30.1,24.5,5.6,30.2
Ang Mo Kio,2012,37,2012,9,11,2,27.8,30.7,25.1,5,37.4
Ang Mo Kio,2012,37,2012,9,12,3.6,28.5,31.7,25.9,5.8,37.1
Ang Mo Kio,2012,37,2012,9,13,0,28.3,31.2,25.6,6.8,34.6
Ang Mo Kio,2012,37,2012,9,14,0,28.5,30.7,26.1,5.5,22.7
Ang Mo Kio,2012,37,2012,9,15,0.4,28.8,32.6,26.7,6.2,28.1
Ang Mo Kio,2012,38,2012,9,16,0,29.3,32.6,27.3,5.7,24.1
Ang Mo Kio,2012,38,2012,9,17,0,28.4,33.2,26.1,6.4,27.7
Ang Mo Kio,2012,38,2012,9,18,0,29.4,33.6,26.8,6.9,24.5
Ang Mo Kio,2012,38,2012,9,19,6,28.4,33.6,26.2,5.5,28.1
Ang Mo Kio,2012,38,2012,9,20,0,28.5,32.6,25.8,4,23.8
Ang Mo Kio,2012,38,2012,9,21,1.8,27.3,32.3,24.9,4.3,37.1
Ang Mo Kio,2012,38,2012,9,22,0,27.9,32.5,24.7,5,28.1
Ang Mo Kio,2012,39,2012,9,23,0,28.8,32.7,26.2,5,26.6
Ang Mo Kio,2012,39,2012,9,24,0,28.4,32,26,5.5,25.9
Ang Mo Kio,2012,39,2012,9,25,24.2,28.1,31.4,25.8,5.1,23.4
Ang Mo Kio,2012,39,2012,9,26,2.2,26.8,29,22.6,5.2,30.2
Ang Mo Kio,2012,39,2012,9,27,34,28.2,32.6,22.7,6.2,55.1
Ang Mo Kio,2012,39,2012,9,28,0,28.8,33.6,23.5,5.6,32.8
Ang Mo Kio,2012,39,2012,9,29,3,28.2,32,25,4.8,20.9
Ang Mo Kio,2012,40,2012,9,30,9.4,27.3,32.6,24.9,5.1,29.2
Ang Mo Kio,2012,40,2012,10,1,0,28.6,34,24.9,4.7,24.1
Ang Mo Kio,2012,40,2012,10,2,0,28.7,32.6,25.8,4.9,26.6
Ang Mo Kio,2012,40,2012,10,3,11.6,29.6,33.4,26.8,5.5,28.1
Ang Mo Kio,2012,40,2012,10,4,0.4,28.7,32.3,24,5.8,25.6
Ang Mo Kio,2012,40,2012,10,5,10.8,27.5,30.8,24.3,5.7,31.3
Ang Mo Kio,2012,40,2012,10,6,2.8,27.4,31.3,25,5,23.8
Ang Mo Kio,2012,41,2012,10,7,2.4,27.2,30,25.3,4.8,28.1
Ang Mo Kio,2012,41,2012,10,8,0,28.6,32.9,25.2,5.1,25.2
Ang Mo Kio,2012,41,2012,10,9,0,28.2,33,26.2,4,27
Ang Mo Kio,2012,41,2012,10,10,18.2,27.2,32.4,25.3,3.3,22.7
Ang Mo Kio,2012,41,2012,10,11,6.2,27.3,32.3,25.4,3.9,21.6
Ang Mo Kio,2012,41,2012,10,12,0,27.8,32.8,25.4,4.1,31
Ang Mo Kio,2012,41,2012,10,13,1.4,26.4,31.2,24.4,4.1,27.7
Ang Mo Kio,2012,42,2012,10,14,27.8,26.9,32.8,23.9,3.7,32
Ang Mo Kio,2012,42,2012,10,15,0,27.8,33,24.9,5.3,24.8
Ang Mo Kio,2012,42,2012,10,16,0,27.6,32.3,25.2,4.8,31.3
Ang Mo Kio,2012,42,2012,10,17,61.8,26.3,32.4,22.7,3.9,37.1
Ang Mo Kio,2012,42,2012,10,18,5.8,26.1,29.9,24.5,3.2,27
Ang Mo Kio,2012,42,2012,10,19,2.6,26.1,28.9,24.5,4.1,16.9
Ang Mo Kio,2012,42,2012,10,20,41,26.4,32.6,23.5,4.5,28.4
Ang Mo Kio,2012,43,2012,10,21,2,26.1,29.7,24.8,3.1,20.9
Ang Mo Kio,2012,43,2012,10,22,2.4,27.2,33.2,24.4,4.3,26.3
Ang Mo Kio,2012,43,2012,10,23,0,28.3,32.9,24.3,4.1,22.3
Ang Mo Kio,2012,43,2012,10,24,0,29.1,33.7,25.8,4.8,21.2
Ang Mo Kio,2012,43,2012,10,25,0,28.9,33,26,6.2,31.3
Ang Mo Kio,2012,43,2012,10,26,0,28.9,33.6,26.3,6.7,29.5
Ang Mo Kio,2012,43,2012,10,27,0,28.8,33.8,26.3,5,21.2
Ang Mo Kio,2012,44,2012,10,28,0,29,34.5,25.8,6.8,35.6
Ang Mo Kio,2012,44,2012,10,29,0,28.6,33.4,25.8,5.4,28.8
Ang Mo Kio,2012,44,2012,10,30,2.2,27.5,31.8,25.8,5.1,30.6
Ang Mo Kio,2012,44,2012,10,31,30.6,26.5,30.3,24,4.6,25.9
Ang Mo Kio,2012,44,2012,11,1,8.4,26,30.8,24.6,4,24.8
Ang Mo Kio,2012,44,2012,11,2,0.2,27.5,33,24.5,3.9,27.7
Ang Mo Kio,2012,44,2012,11,3,5.6,25.7,28.4,23.7,5,24.1
Ang Mo Kio,2012,45,2012,11,4,43.2,26,31.4,22.9,4.6,27.7
Ang Mo Kio,2012,45,2012,11,5,0,26.4,29.2,23.2,5.8,27.4
Ang Mo Kio,2012,45,2012,11,6,0.6,26.5,32.1,25.1,4.6,27.7
Ang Mo Kio,2012,45,2012,11,7,6.6,27.4,31.3,25,4.6,27.7
Ang Mo Kio,2012,45,2012,11,8,11.8,27,32.8,24.7,3.9,23.4
Ang Mo Kio,2012,45,2012,11,9,16.6,26.9,31.9,23.7,3.7,28.8
