Station,Date,Epiyear,Epiweek,Rainfall,Mean_temp,Temp_range
Admiralty,2012-02-02,2012,5,17.2,25.3,6.199999999999999
Admiralty,2012-02-03,2012,5,0.4,24.9,3
Admiralty,2012-02-04,2012,5,0.2,25.9,4.699999999999999
Admiralty,2012-02-05,2012,6,0.8,26.9,6.100000000000001
Admiralty,2012-02-06,2012,6,0.4,26.9,7
Admiralty,2012-02-07,2012,6,0,27.1,7.899999999999999
Admiralty,2012-02-08,2012,6,0,27.3,8.599999999999998
Admiralty,2012-02-09,2012,6,0,26.7,7.899999999999999
Admiralty,2012-02-10,2012,6,0,27.1,7.399999999999999
Admiralty,2012-02-11,2012,6,0,27.4,7.5000000000000036
Admiralty,2012-02-12,2012,7,1.4,27.2,6.099999999999998
Admiralty,2012-02-13,2012,7,0.4,26.5,4.900000000000002
Admiralty,2012-02-14,2012,7,0,27.3,6.699999999999999
Admiralty,2012-02-15,2012,7,0.4,26.8,9
Admiralty,2012-02-16,2012,7,4.2,27.2,8.600000000000001
Admiralty,2012-02-17,2012,7,46.8,26.6,10.600000000000001
Admiralty,2012-02-18,2012,7,24.2,25.1,5.199999999999999
Admiralty,2012-02-19,2012,8,0.2,25.9,9.2
Admiralty,2012-02-20,2012,8,16.4,26.2,6.300000000000001
Admiralty,2012-02-21,2012,8,0,26.5,4.699999999999999
Admiralty,2012-02-22,2012,8,0,27.1,6.699999999999999
Admiralty,2012-02-23,2012,8,0,28.1,7.599999999999998
Admiralty,2012-02-24,2012,8,0,28.1,7
Admiralty,2012-02-25,2012,8,0,27.9,8.2
Admiralty,2012-02-26,2012,9,0.4,27.5,6.800000000000004
Admiralty,2012-02-27,2012,9,0,27.4,5.5
Admiralty,2012-02-28,2012,9,0,27.8,8.400000000000002
Admiralty,2012-02-29,2012,9,0,27.1,7.0000000000000036
Admiralty,2012-03-01,2012,9,9.2,26.4,8.3
Admiralty,2012-03-02,2012,9,8.6,25.2,4.399999999999999
Admiralty,2012-03-03,2012,9,0.2,26.9,6.699999999999999
Admiralty,2012-03-04,2012,10,0.4,28.1,7.899999999999999
Admiralty,2012-03-05,2012,10,11.6,25.5,6.699999999999999
Admiralty,2012-03-06,2012,10,0.8,27.8,7.599999999999998
Admiralty,2012-03-07,2012,10,11.8,27.3,6.200000000000003
Admiralty,2012-03-08,2012,10,37.6,26.8,6.600000000000001
Admiralty,2012-03-09,2012,10,0,26.5,6.099999999999998
Admiralty,2012-03-10,2012,10,4.2,27.4,6.800000000000001
Admiralty,2012-03-11,2012,11,10.6,26.4,6.399999999999999
Admiralty,2012-03-12,2012,11,0,25.3,2.6000000000000014
Admiralty,2012-03-13,2012,11,26,26.1,6.399999999999999
Admiralty,2012-03-14,2012,11,11.8,24.4,2.8999999999999986
Admiralty,2012-03-15,2012,11,0,26.4,6
Admiralty,2012-03-16,2012,11,0,28,7.600000000000001
Admiralty,2012-03-17,2012,11,2.4,27.7,7.699999999999999
Admiralty,2012-03-18,2012,12,14.2,26.8,8.5
Admiralty,2012-03-19,2012,12,0.8,27.5,5.799999999999997
Admiralty,2012-03-20,2012,12,0,27.8,5.400000000000002
Admiralty,2012-03-21,2012,12,66.8,27.4,11.200000000000003
Admiralty,2012-03-22,2012,12,0,27.5,7.799999999999997
Admiralty,2012-03-23,2012,12,0,27.6,9.399999999999999
Admiralty,2012-03-24,2012,12,0,27.7,8.699999999999996
Admiralty,2012-03-25,2012,13,18,26.8,9.799999999999997
Admiralty,2012-03-26,2012,13,2.4,27,5.800000000000001
Admiralty,2012-03-27,2012,13,6.6,27.3,8.099999999999998
Admiralty,2012-03-28,2012,13,0,27,5.100000000000001
Admiralty,2012-03-29,2012,13,0,27.3,8.500000000000004
Admiralty,2012-03-30,2012,13,25.2,26.8,5.400000000000002
Admiralty,2012-03-31,2012,13,5.2,25.7,5.599999999999998
Admiralty,2012-04-01,2012,14,13.4,28.4,8.400000000000002
Admiralty,2012-04-02,2012,14,2.8,27.1,7.399999999999999
Admiralty,2012-04-03,2012,14,7,27.8,5.600000000000001
Admiralty,2012-04-04,2012,14,3,27.2,9.7
Admiralty,2012-04-05,2012,14,5.8,27.5,8.399999999999999
Admiralty,2012-04-06,2012,14,33.2,26.2,7
Admiralty,2012-04-07,2012,14,40,26.4,8.899999999999999
Admiralty,2012-04-08,2012,15,17.4,26.7,6.800000000000001
Admiralty,2012-04-09,2012,15,21.2,26.1,6.100000000000001
Admiralty,2012-04-10,2012,15,93,26.1,12
Admiralty,2012-04-11,2012,15,0.2,26.7,6.799999999999997
Admiralty,2012-04-12,2012,15,12.8,27.4,7.199999999999999
Admiralty,2012-04-13,2012,15,0,29.1,8.7
Admiralty,2012-04-14,2012,15,32.4,26.9,8.799999999999997
Admiralty,2012-04-15,2012,16,0,27.7,8.5
Admiralty,2012-04-16,2012,16,2.6,27.2,8.800000000000004
Admiralty,2012-04-17,2012,16,0,27.4,7.099999999999998
Admiralty,2012-04-18,2012,16,30.8,28.3,9.8
Admiralty,2012-04-19,2012,16,0.6,26.3,7
Admiralty,2012-04-20,2012,16,7,28.6,7.299999999999997
Admiralty,2012-04-21,2012,16,10.4,26.7,5
Admiralty,2012-04-22,2012,17,0.6,28.2,8.899999999999999
Admiralty,2012-04-23,2012,17,0.4,27.9,9
Admiralty,2012-04-24,2012,17,0,26.9,5.699999999999999
Admiralty,2012-04-25,2012,17,0,28.4,6.600000000000001
Admiralty,2012-04-26,2012,17,3.4,28.9,5.299999999999997
Admiralty,2012-04-27,2012,17,0,29.3,8.8
Admiralty,2012-04-28,2012,17,0,29.2,6.099999999999998
Admiralty,2012-04-29,2012,18,0,28.6,6.600000000000001
Admiralty,2012-04-30,2012,18,1.4,28.2,8.299999999999997
Admiralty,2012-05-01,2012,18,20.6,27.6,8.399999999999999
Admiralty,2012-05-02,2012,18,6.4,26.7,5.300000000000001
Admiralty,2012-05-03,2012,18,0,28.4,6.100000000000001
Admiralty,2012-05-04,2012,18,131.4,29,5.199999999999999
Admiralty,2012-05-05,2012,18,0.4,26.7,8.5
Admiralty,2012-05-06,2012,19,36,26.4,10.099999999999998
Admiralty,2012-05-07,2012,19,0.2,25.6,5.099999999999998
Admiralty,2012-05-08,2012,19,30.8,29.1,7.900000000000002
Admiralty,2012-05-09,2012,19,4.6,27.2,11.700000000000003
Admiralty,2012-05-10,2012,19,10.2,27.4,9.600000000000001
Admiralty,2012-05-11,2012,19,0.8,27.9,7
Admiralty,2012-05-12,2012,19,4.8,29,6.099999999999998
Admiralty,2012-05-13,2012,20,0.2,27.2,6.5
Admiralty,2012-05-14,2012,20,0,29.3,5.700000000000003
Admiralty,2012-05-15,2012,20,2.2,29.2,6.299999999999997
Admiralty,2012-05-16,2012,20,11,28.1,7.699999999999999
Admiralty,2012-05-17,2012,20,0,26.8,6.100000000000001
Admiralty,2012-05-18,2012,20,0,29.1,7.699999999999996
Admiralty,2012-05-19,2012,20,0,29.7,8.100000000000001
Admiralty,2012-05-20,2012,21,6.2,28.4,7.099999999999998
Admiralty,2012-05-21,2012,21,2,28.3,7.900000000000002
Admiralty,2012-05-22,2012,21,11.2,28.6,8.5
Admiralty,2012-05-23,2012,21,0,27.6,6.699999999999999
Admiralty,2012-05-24,2012,21,2.6,28.8,6
Admiralty,2012-05-25,2012,21,0,28.4,5.600000000000001
Admiralty,2012-05-26,2012,21,56.2,27.6,7.699999999999999
Admiralty,2012-05-27,2012,22,0,26.9,7.600000000000001
Admiralty,2012-05-28,2012,22,0,28.9,7.699999999999999
Admiralty,2012-05-29,2012,22,2,28.2,5
Admiralty,2012-05-30,2012,22,0.8,27.9,7.300000000000001
Admiralty,2012-05-31,2012,22,0.8,28,8.8
Admiralty,2012-06-01,2012,22,0,27.7,5.699999999999999
Admiralty,2012-06-02,2012,22,0,28.5,4.800000000000001
Admiralty,2012-06-03,2012,23,0.6,28,6.399999999999999
Admiralty,2012-06-04,2012,23,1.4,28.7,5.800000000000001
Admiralty,2012-06-05,2012,23,0.8,29,6.100000000000001
Admiralty,2012-06-06,2012,23,0,28.5,5.400000000000002
Admiralty,2012-06-07,2012,23,0,30,6.100000000000001
Admiralty,2012-06-08,2012,23,68,28.4,6.199999999999999
Admiralty,2012-06-09,2012,23,0.4,26.3,5.800000000000001
Admiralty,2012-06-10,2012,24,0,29.1,7.199999999999996
Admiralty,2012-06-11,2012,24,0,28.8,2.599999999999998
Admiralty,2012-06-12,2012,24,0,29.2,5.399999999999999
Admiralty,2012-06-13,2012,24,0,29.6,6.700000000000003
Admiralty,2012-06-14,2012,24,0,30,6.200000000000003
Admiralty,2012-06-15,2012,24,0,29.9,6.0000000000000036
Admiralty,2012-06-16,2012,24,0,29.6,5.899999999999999
Admiralty,2012-06-17,2012,25,0,29.6,5.4999999999999964
Admiralty,2012-06-18,2012,25,0,29.8,6
Admiralty,2012-06-19,2012,25,19.4,28.5,8.600000000000001
Admiralty,2012-06-20,2012,25,0,28.9,6.599999999999998
Admiralty,2012-06-21,2012,25,1.4,27.7,7.5
Admiralty,2012-06-22,2012,25,0,28.6,7.899999999999999
Admiralty,2012-06-23,2012,25,0,29.9,6.600000000000001
Admiralty,2012-06-24,2012,26,0,29.4,7.300000000000001
Admiralty,2012-06-25,2012,26,0,29.2,7.0000000000000036
Admiralty,2012-06-26,2012,26,0,27.8,6.899999999999999
Admiralty,2012-06-27,2012,26,9,27.2,6.699999999999999
Admiralty,2012-06-28,2012,26,0,28,7.299999999999997
Admiralty,2012-06-29,2012,26,0,28.8,6.700000000000003
Admiralty,2012-06-30,2012,26,4.4,27.5,7.099999999999998
Admiralty,2012-07-01,2012,27,0,28.3,6.599999999999998
Admiralty,2012-07-02,2012,27,42,27.4,8.599999999999998
Admiralty,2012-07-03,2012,27,31.6,26.2,6.5
Admiralty,2012-07-04,2012,27,50.4,26.3,5.899999999999999
Admiralty,2012-07-05,2012,27,51.2,25.9,5.5
Admiralty,2012-07-06,2012,27,0,27.9,7
Admiralty,2012-07-07,2012,27,7.4,27,7.300000000000001
Admiralty,2012-07-08,2012,28,0,27.3,8.900000000000002
Admiralty,2012-07-09,2012,28,0,28.4,4.699999999999999
Admiralty,2012-07-10,2012,28,0.6,27.2,4.900000000000002
Admiralty,2012-07-11,2012,28,0,27,3.8000000000000007
Admiralty,2012-07-12,2012,28,0.4,28,5.300000000000001
Admiralty,2012-07-13,2012,28,0.2,28.5,5.699999999999999
Admiralty,2012-07-14,2012,28,9,26.1,3.599999999999998
Admiralty,2012-07-15,2012,29,0.2,27.1,7.199999999999999
Admiralty,2012-07-16,2012,29,50.2,25.8,5.199999999999999
Admiralty,2012-07-17,2012,29,6.8,25.9,6.200000000000003
Admiralty,2012-07-18,2012,29,0,27.3,5.700000000000003
Admiralty,2012-07-19,2012,29,36.2,26,7.5
Admiralty,2012-07-20,2012,29,0.4,27.3,7.899999999999999
Admiralty,2012-07-21,2012,29,0,28.9,6.699999999999999
Admiralty,2012-07-22,2012,30,0,29,7.9999999999999964
Admiralty,2012-07-23,2012,30,0,28.9,5.600000000000001
Admiralty,2012-07-24,2012,30,0,29,5.5
Admiralty,2012-07-25,2012,30,0,29,6.5
Admiralty,2012-07-26,2012,30,0,29.4,5.800000000000001
Admiralty,2012-07-27,2012,30,0,29.2,6
Admiralty,2012-07-28,2012,30,3.4,28.2,8.899999999999999
Admiralty,2012-07-29,2012,31,0,28.5,6.5
Admiralty,2012-07-30,2012,31,0,28.9,5.5000000000000036
Admiralty,2012-07-31,2012,31,0,28.8,5.5000000000000036
Admiralty,2012-08-01,2012,31,0.8,27.8,5.100000000000001
Admiralty,2012-08-02,2012,31,0,28.7,5.900000000000002
Admiralty,2012-08-03,2012,31,40,27.4,6.5
Admiralty,2012-08-04,2012,31,10,26.9,7.5
Admiralty,2012-08-05,2012,32,0,28.1,6.800000000000001
Admiralty,2012-08-06,2012,32,2.6,27.6,5.899999999999999
Admiralty,2012-08-07,2012,32,0,28.2,8.099999999999998
Admiralty,2012-08-08,2012,32,0,28.7,6.599999999999998
Admiralty,2012-08-09,2012,32,0,28.7,6
Admiralty,2012-08-10,2012,32,0,29,6.299999999999997
Admiralty,2012-08-11,2012,32,0,29.2,7.5
Admiralty,2012-08-12,2012,33,0,28.2,7.4999999999999964
Admiralty,2012-08-13,2012,33,1.4,27.7,7
Admiralty,2012-08-14,2012,33,0,29.3,8
Admiralty,2012-08-15,2012,33,0,29,5.700000000000003
Admiralty,2012-08-16,2012,33,0,28.1,5.199999999999999
Admiralty,2012-08-17,2012,33,17.6,26.6,6.600000000000001
Admiralty,2012-08-18,2012,33,0,27.5,7.899999999999999
Admiralty,2012-08-19,2012,34,5.8,27.2,7.899999999999999
Admiralty,2012-08-20,2012,34,30.4,28,10.799999999999997
Admiralty,2012-08-21,2012,34,2.4,26.9,8.299999999999997
Admiralty,2012-08-22,2012,34,0.4,27.4,7.200000000000003
Admiralty,2012-08-23,2012,34,1.4,26.7,5.699999999999999
Admiralty,2012-08-24,2012,34,0,28.5,6.600000000000001
Admiralty,2012-08-25,2012,34,8.2,27.6,5.100000000000001
Admiralty,2012-08-26,2012,35,2.6,27.2,5.199999999999999
Admiralty,2012-08-27,2012,35,35.4,25.3,5.399999999999999
Admiralty,2012-08-28,2012,35,0.2,25.8,4
Admiralty,2012-08-29,2012,35,0,27.4,5.100000000000001
Admiralty,2012-08-30,2012,35,6.8,25.8,4.800000000000001
Admiralty,2012-08-31,2012,35,2,26,4.700000000000003
Admiralty,2012-09-01,2012,35,0,28.9,6.100000000000001
Admiralty,2012-09-02,2012,36,0,29,6.599999999999998
Admiralty,2012-09-03,2012,36,0,28.9,6.399999999999999
Admiralty,2012-09-04,2012,36,2.2,28.6,8.499999999999996
Admiralty,2012-09-05,2012,36,0,26.2,4.800000000000001
Admiralty,2012-09-06,2012,36,0,27.3,6.699999999999999
Admiralty,2012-09-07,2012,36,3.6,26.8,8.299999999999997
Admiralty,2012-09-08,2012,36,8.2,27.2,6.199999999999999
Admiralty,2012-09-09,2012,37,25.4,25.8,8.100000000000001
Admiralty,2012-09-10,2012,37,0,26.7,6.199999999999999
Admiralty,2012-09-11,2012,37,3,27.7,7.300000000000001
Admiralty,2012-09-12,2012,37,0,28.6,6.300000000000001
Admiralty,2012-09-13,2012,37,2.4,27.8,5.800000000000001
Admiralty,2012-09-14,2012,37,0,28.3,6.399999999999999
Admiralty,2012-09-15,2012,37,0,28.6,6.099999999999998
Admiralty,2012-09-16,2012,38,0,29.1,5.699999999999999
Admiralty,2012-09-17,2012,38,0,27.8,8.200000000000003
Admiralty,2012-09-18,2012,38,0,29.2,9.499999999999996
Admiralty,2012-09-19,2012,38,1.2,28.2,7.700000000000003
Admiralty,2012-09-20,2012,38,0,28.1,8.2
Admiralty,2012-09-21,2012,38,38.6,26.6,8.100000000000001
Admiralty,2012-09-22,2012,38,0,27.7,8.899999999999999
Admiralty,2012-09-23,2012,39,0,28.4,7.700000000000003
Admiralty,2012-09-24,2012,39,5.4,27.8,6.199999999999999
Admiralty,2012-09-25,2012,39,5.8,28.1,5.800000000000001
Admiralty,2012-09-26,2012,39,0.8,26.7,5.5
Admiralty,2012-09-27,2012,39,9.4,28,8.999999999999996
Admiralty,2012-09-28,2012,39,0,28.3,9.100000000000001
Admiralty,2012-09-29,2012,39,5.8,27.5,6.900000000000002
Admiralty,2012-09-30,2012,40,3.4,27.1,7.700000000000003
Admiralty,2012-10-01,2012,40,0,28.4,9.100000000000001
Admiralty,2012-10-02,2012,40,0,28.4,6.400000000000002
Admiralty,2012-10-03,2012,40,0,29.1,6.600000000000001
Admiralty,2012-10-04,2012,40,0,28.6,6
Admiralty,2012-10-05,2012,40,0,27.9,3.6000000000000014
Admiralty,2012-10-06,2012,40,2.4,27.9,6.399999999999999
Admiralty,2012-10-07,2012,41,0,27.4,4.699999999999999
Admiralty,2012-10-08,2012,41,0,28.5,7.4999999999999964
Admiralty,2012-10-09,2012,41,2.2,27.2,7.199999999999999
Admiralty,2012-10-10,2012,41,1.2,27.6,8.8
Admiralty,2012-10-11,2012,41,0.6,27.4,7.600000000000001
Admiralty,2012-10-12,2012,41,29.8,27.3,8.900000000000002
Admiralty,2012-10-13,2012,41,22.2,26,7.100000000000001
Admiralty,2012-10-14,2012,42,8,26.7,9
Admiralty,2012-10-15,2012,42,0,27.1,7.099999999999998
Admiralty,2012-10-16,2012,42,0,27.5,7.300000000000001
Admiralty,2012-10-17,2012,42,15.2,26.4,9.200000000000003
Admiralty,2012-10-18,2012,42,46.6,26.1,7.800000000000001
Admiralty,2012-10-19,2012,42,0.8,25.9,6.300000000000001
Admiralty,2012-10-20,2012,42,15.8,26.4,7.9999999999999964
Admiralty,2012-10-21,2012,43,8.2,26.2,5.5
Admiralty,2012-10-22,2012,43,0,27.2,8.200000000000003
Admiralty,2012-10-23,2012,43,0,28.3,8.5
Admiralty,2012-10-24,2012,43,0,29.1,8.299999999999997
Admiralty,2012-10-25,2012,43,0,28.7,7.099999999999998
Admiralty,2012-10-26,2012,43,0,28.7,6.600000000000001
Admiralty,2012-10-27,2012,43,0,28.8,7.899999999999999
Admiralty,2012-10-28,2012,44,0,28.7,7.100000000000001
Admiralty,2012-10-29,2012,44,0,28.5,6.600000000000001
Admiralty,2012-10-30,2012,44,1.2,27.6,5.599999999999998
Admiralty,2012-10-31,2012,44,4,26.5,6.199999999999999
Admiralty,2012-11-01,2012,44,9,26,7.399999999999999
Admiralty,2012-11-02,2012,44,0,27.4,9
Admiralty,2012-11-03,2012,44,29.6,25.6,5.700000000000003
Admiralty,2012-11-04,2012,45,8.2,25.8,7.400000000000002
Admiralty,2012-11-05,2012,45,0,26.2,6
Admiralty,2012-11-06,2012,45,4.4,26.4,7.5
Admiralty,2012-11-07,2012,45,0.8,27.4,6.400000000000002
Admiralty,2012-11-08,2012,45,20.8,26.9,8.2
Admiralty,2012-11-09,2012,45,17.8,26.6,7.299999999999997
Admiralty,2012-11-10,2012,45,7.4,26.5,7.5
Admiralty,2012-11-11,2012,46,0,27.3,5.800000000000001
Admiralty,2012-11-12,2012,46,10.2,26.6,8.200000000000003
Admiralty,2012-11-13,2012,46,9.6,26.3,6.899999999999999
Admiralty,2012-11-14,2012,46,25,26.5,9.599999999999998
Admiralty,2012-11-15,2012,46,4.8,27.7,6.199999999999999
Admiralty,2012-11-16,2012,46,3.6,28.1,8.899999999999999
Admiralty,2012-11-17,2012,46,47.2,26.7,8.5
Admiralty,2012-11-18,2012,47,5,27.2,8.700000000000003
Admiralty,2012-11-19,2012,47,16,26.4,5.199999999999999
Admiralty,2012-11-20,2012,47,0,28,8.100000000000001
Admiralty,2012-11-21,2012,47,30,27.2,9.7
Admiralty,2012-11-22,2012,47,0.2,26.9,4.199999999999999
Admiralty,2012-11-23,2012,47,38,26.9,9.899999999999999
Admiralty,2012-11-24,2012,47,0,27.1,7.300000000000001
Admiralty,2012-11-25,2012,48,1.8,26.7,6.199999999999999
Admiralty,2012-11-26,2012,48,7.6,27,7.699999999999999
Admiralty,2012-11-27,2012,48,4.2,26.7,8.2
Admiralty,2012-11-28,2012,48,29.6,27.3,10.100000000000001
Admiralty,2012-11-29,2012,48,21.8,26.7,7.600000000000001
Admiralty,2012-11-30,2012,48,6,27.4,7.600000000000001
Admiralty,2012-12-01,2012,48,1.8,26.3,5.300000000000001
Admiralty,2012-12-02,2012,49,1.6,27.1,6.099999999999998
Admiralty,2012-12-03,2012,49,71.6,25.6,6.400000000000002
Admiralty,2012-12-04,2012,49,11.8,26,7.900000000000002
Admiralty,2012-12-05,2012,49,84,26.2,7.200000000000003
Admiralty,2012-12-06,2012,49,1.2,26.6,7.600000000000001
Admiralty,2012-12-07,2012,49,0,27.9,6.599999999999998
Admiralty,2012-12-08,2012,49,0,27.6,4.100000000000001
Admiralty,2012-12-09,2012,50,0.4,27.1,5
Admiralty,2012-12-10,2012,50,0.6,26.6,6.799999999999997
Admiralty,2012-12-11,2012,50,21.4,26.2,7.299999999999997
Admiralty,2012-12-12,2012,50,3,26.1,7.399999999999999
Admiralty,2012-12-13,2012,50,20,25.4,7.199999999999999
Admiralty,2012-12-14,2012,50,0.2,26.8,6.199999999999999
Admiralty,2012-12-15,2012,50,1.6,26.9,5.5
Admiralty,2012-12-16,2012,51,45.2,25.5,6.600000000000001
Admiralty,2012-12-17,2012,51,27.2,25.7,5.899999999999999
Admiralty,2012-12-18,2012,51,12.6,25.2,5.300000000000001
Admiralty,2012-12-19,2012,51,7.4,25.7,8.2
Admiralty,2012-12-20,2012,51,0.2,27.2,7.5
Admiralty,2012-12-21,2012,51,1.8,27.2,7.100000000000001
Admiralty,2012-12-22,2012,51,10,26.3,8.599999999999998
Admiralty,2012-12-23,2012,52,0.2,26.6,6.699999999999999
Admiralty,2012-12-24,2012,52,2.8,26.2,4.800000000000001
Admiralty,2012-12-25,2012,52,0.4,24.7,3.3000000000000007
Admiralty,2012-12-26,2012,52,0,26,6
Admiralty,2012-12-27,2012,52,0,26.6,4.699999999999999
Admiralty,2012-12-28,2012,52,28.8,26.7,5.100000000000001
Admiralty,2012-12-29,2012,52,11.6,26.5,5.399999999999999
Admiralty,2012-12-30,2013,1,1.6,27.1,4.5
Admiralty,2012-12-31,2013,1,86.8,25.5,6.600000000000001
Admiralty,2013-01-01,2013,1,0.2,27,8.399999999999999
Admiralty,2013-01-02,2013,1,27.6,26.3,7.600000000000001
Admiralty,2013-01-03,2013,1,1.6,26.6,6.599999999999998
Admiralty,2013-01-04,2013,1,0,27,6.399999999999999
Admiralty,2013-01-05,2013,1,0,27.1,5.199999999999999
Admiralty,2013-01-06,2013,2,0,28.1,8.5
Admiralty,2013-01-07,2013,2,0,29.1,8
Admiralty,2013-01-08,2013,2,33.4,26.6,9.8
Admiralty,2013-01-09,2013,2,14,26.4,9
Admiralty,2013-01-10,2013,2,0,26.8,6.100000000000001
Admiralty,2013-01-11,2013,2,0,27.4,5.100000000000001
Admiralty,2013-01-12,2013,2,2.6,27.3,7.199999999999999
Admiralty,2013-01-13,2013,3,8.4,26.4,6.599999999999998
Admiralty,2013-01-14,2013,3,3.8,26.9,6.199999999999999
Admiralty,2013-01-15,2013,3,5,26.8,5.599999999999998
Admiralty,2013-01-16,2013,3,1.8,26.7,4.099999999999998
Admiralty,2013-01-17,2013,3,0,27,6.099999999999998
Admiralty,2013-01-18,2013,3,62.6,26.5,8.7
Admiralty,2013-01-19,2013,3,30.4,23.7,1.6000000000000014
Admiralty,2013-01-20,2013,4,8,24.5,2.400000000000002
Admiralty,2013-01-21,2013,4,1.4,26.5,6.300000000000001
Admiralty,2013-01-22,2013,4,1,25.6,3.8999999999999986
Admiralty,2013-01-23,2013,4,0,26.9,6
Admiralty,2013-01-24,2013,4,0,26.8,5
Admiralty,2013-01-25,2013,4,0,26.8,6.200000000000003
Admiralty,2013-01-26,2013,4,0,27,6.399999999999999
Admiralty,2013-01-27,2013,5,0,26.8,6.400000000000002
Admiralty,2013-01-28,2013,5,0.2,26.8,5.800000000000001
Admiralty,2013-01-29,2013,5,0,26.9,6.100000000000001
Admiralty,2013-01-30,2013,5,0,27.1,6.800000000000001
Admiralty,2013-01-31,2013,5,0,27.3,6.5
Admiralty,2013-02-01,2013,5,0,27.4,5.400000000000002
Admiralty,2013-02-02,2013,5,0,27.8,7.300000000000001
Admiralty,2013-02-03,2013,6,39.6,25.6,3
Admiralty,2013-02-04,2013,6,1,26.4,4.699999999999999
Admiralty,2013-02-05,2013,6,5.6,25.8,5.600000000000001
Admiralty,2013-02-06,2013,6,6.2,25.5,5.199999999999999
Admiralty,2013-02-07,2013,6,4.4,26.3,6.700000000000003
Admiralty,2013-02-08,2013,6,33.6,25.5,5.5
Admiralty,2013-02-09,2013,6,28.6,26,8.7
Admiralty,2013-02-10,2013,7,21.6,24.5,2.099999999999998
Admiralty,2013-02-11,2013,7,0.8,24.8,4.899999999999999
Admiralty,2013-02-12,2013,7,28.2,25.5,5.300000000000001
Admiralty,2013-02-13,2013,7,0.8,26.5,5.699999999999999
Admiralty,2013-02-14,2013,7,29.8,24.8,4.100000000000001
Admiralty,2013-02-15,2013,7,9,25.4,6.100000000000001
Admiralty,2013-02-16,2013,7,2,25.7,6
Admiralty,2013-02-17,2013,8,1,24.7,1.8000000000000007
Admiralty,2013-02-18,2013,8,15,26,6.800000000000001
Admiralty,2013-02-19,2013,8,0.4,25.8,3.1000000000000014
Admiralty,2013-02-20,2013,8,0.6,27,7.5
Admiralty,2013-02-21,2013,8,0.2,26.8,4.700000000000003
Admiralty,2013-02-22,2013,8,0,27.3,7.600000000000001
Admiralty,2013-02-23,2013,8,0,27.5,7.5
Admiralty,2013-02-24,2013,9,0,27.3,5.199999999999999
Admiralty,2013-02-25,2013,9,65.8,26.9,8.100000000000001
Admiralty,2013-02-26,2013,9,19.6,26.8,8.399999999999999
Admiralty,2013-02-27,2013,9,5.2,27.2,7.399999999999999
Admiralty,2013-02-28,2013,9,0,27.6,8.799999999999997
Admiralty,2013-03-01,2013,9,0,28.1,8.8
Admiralty,2013-03-02,2013,9,21.2,27.8,7.599999999999998
Admiralty,2013-03-03,2013,10,0,27.6,5.900000000000002
Admiralty,2013-03-04,2013,10,0,27.6,6.5
Admiralty,2013-03-05,2013,10,0.2,27.3,5.899999999999999
Admiralty,2013-03-06,2013,10,0.2,27.2,5.399999999999999
Admiralty,2013-03-07,2013,10,0,27.6,7.600000000000001
Admiralty,2013-03-08,2013,10,0,27.8,5.800000000000001
Admiralty,2013-03-09,2013,10,3,26.9,6.600000000000001
Admiralty,2013-03-10,2013,11,11.6,27.1,8.899999999999999
Admiralty,2013-03-11,2013,11,0,27.5,7.799999999999997
